모텔명,영암왕인문화축제,화순고인돌과함께하는국화향연,정남진장흥물축제,뱀부페스티벌,황룡강가을꽃축제,영광불갑산상사화축제,순천푸드앤아트페스티벌,곡성세계장미축제,대한민국국향대전,목포항구축제,국제남도음식문화큰잔치,황룡강(洪)길동무꽃길축제,함평나비대축제,해남미남축제,월출산국화축제,명량대첩축제,진도신비의바닷길축제,대한민국마한문화제,영광법성포단오제,무안연꽃축제,무안YD페스티벌,황토갯벌축제,섬겨울꽃축제,섬튤립축제,담양산타축제,청산도슬로걷기축제,진도개페스티벌,고흥유자석류축제,꽃무릇큰잔치,청정완도가을섬여행,고흥우주항공축제,곡성심청어린이대축제,마한축제,영암무화과축제,대한민국난명품대제전,녹동바다불꽃축제,섬수국축제,천년나주목읍성문화축제,곡성아이스크림페스티벌,백양단풍축제,땅끝매화축제,송호해변여름축제,구례자연드림뮤직페스티벌,회령포문화축제,진도문화예술제,용면추월산벚꽃축제,지리산남악제및군민의날행사,화엄음악제,오시아노뮤직페스티벌,구례동편소리축제,고서포도축제,장흥표고버섯축제,적벽문화축제,지리산피아골단풍축제,장평명품호두축제,축령산편백산소축제,백운산국사봉철쭉축제,유달산봄축제,여수영취산진달래체험행사,광양전어축제,광양K-POP슈퍼페스티벌,여수밤바다불꽃축제,여수거북선축제,거문도백도은빛바다체험행사,광양동백축제,여수동동북축제,완도장보고수산물축제,광양매화축제,영광찰보리문화축제,여수여자만갯벌노을체험행사,영산포홍어축제,여수향일암일출제,어울림음악회,광양전통숯불구이축제,구례300리벚꽃축제,무안겨울숭어축제,운주문화축제,보성다향대축제,서편제보성소리축제,율포해변불꽃축제,보성전어축제,벌교꼬막&문학축제,보성차밭빛축제,봄꽃과함께하는화순고인돌축제,화순캠핑뮤직페스티벌,화순고인돌별빛소나타,동구리호수공원봄축제,정남진장흥키조개축제,한여름밤의별빛달빛축제,강진청자축제,강진성전월출산봄소풍가는날,강진금곡사벚꽃삼십리길축제,전라병영성축제,마량미항찰전어축제,강진만춤추는갈대축제,달마고도힐링축제,땅끝해남어린이공룡대축제,땅끝해넘이해맞이축제,구례산수유꽃축제,백아산철쭉제
보성 별바라기펜션,73327.0,52019.0,39630.0,93622.0,95293.0,111115.0,48726.0,86727.0,97338.0,100866.0,76637.0,94984.0,97673.0,78069.0,66289.0,104963.0,126694.0,74803.0,126573.0,96066.0,93626.0,121614.0,119126.0,148905.0,93992.0,105526.0,117060.0,48972.0,107766.0,84444.0,71230.0,86980.0,74803.0,92452.0,96128.0,61779.0,152043.0,77358.0,85388.0,111507.0,89183.0,104467.0,91110.0,49726.0,117534.0,104378.0,71230.0,88961.0,116613.0,83755.0,83313.0,48965.0,69353.0,95926.0,32911.0,105151.0,69571.0,102226.0,70015.0,73718.0,66756.0,75999.0,76637.0,,63096.0,68675.0,85758.0,83201.0,117527.0,61874.0,77171.0,99904.0,100291.0,57013.0,79560.0,124212.0,58306.0,23399.0,20786.0,16540.0,16505.0,28297.0,23399.0,52019.0,52019.0,52019.0,62003.0,25348.0,93609.0,59315.0,64126.0,54305.0,52181.0,62056.0,54200.0,94424.0,92503.0,106192.0,100158.0,71654.0
고흥 하얀노을호텔,121949.0,100641.0,91276.0,135984.0,143915.0,159737.0,74271.0,118180.0,145960.0,149488.0,71508.0,143606.0,146295.0,130544.0,114911.0,157438.0,179169.0,123425.0,175195.0,144688.0,142248.0,170236.0,167748.0,197527.0,135177.0,164932.0,169535.0,34936.0,156388.0,143850.0,8657.0,118433.0,123425.0,141074.0,144750.0,40841.0,200665.0,125980.0,116841.0,154759.0,141658.0,156942.0,116655.0,109132.0,170009.0,144637.0,8657.0,114506.0,165235.0,109300.0,127711.0,97587.0,111055.0,121471.0,81533.0,153773.0,92257.0,150848.0,72475.0,94570.0,85964.0,69455.0,71508.0,,88641.0,62138.0,145164.0,108746.0,166149.0,67937.0,125793.0,93202.0,148913.0,82558.0,105105.0,172834.0,106928.0,73855.0,69408.0,75397.0,75362.0,53559.0,73855.0,100641.0,100641.0,100641.0,109768.0,84754.0,135854.0,119131.0,115820.0,106780.0,102711.0,121462.0,106675.0,146899.0,144978.0,158667.0,125703.0,112618.0
완도(보길도) 블랙스톤펜션,91697.0,132867.0,90513.0,166360.0,162174.0,152634.0,162675.0,192982.0,130324.0,102665.0,190586.0,161890.0,129778.0,58876.0,99509.0,80135.0,101866.0,114288.0,168379.0,104685.0,100140.0,137700.0,121023.0,164991.0,166766.0,56955.0,92232.0,167439.0,148400.0,37206.0,189182.0,193235.0,114288.0,94326.0,131053.0,180246.0,151672.0,126604.0,191643.0,182037.0,74482.0,28409.0,203370.0,76245.0,92706.0,177058.0,189182.0,201221.0,92047.0,196015.0,156097.0,101269.0,159632.0,209875.0,107173.0,171666.0,183520.0,104049.0,183964.0,187667.0,180705.0,189948.0,190586.0,,177045.0,182624.0,37187.0,197150.0,155012.0,175823.0,122565.0,213853.0,155863.0,170962.0,191820.0,140298.0,123588.0,109648.0,112550.0,104684.0,104719.0,141180.0,109648.0,132867.0,132867.0,132867.0,146482.0,95738.0,166289.0,67845.0,90257.0,80451.0,89633.0,60787.0,75806.0,42203.0,68179.0,26049.0,212418.0,170766.0
진도 해오름펜션,65891.0,111717.0,85570.0,139656.0,129824.0,111595.0,154785.0,168787.0,86909.0,54799.0,182696.0,130280.0,86363.0,57855.0,73703.0,19626.0,3128.0,81768.0,127340.0,65143.0,56135.0,93695.0,71581.0,120986.0,140644.0,104267.0,13737.0,162496.0,105069.0,83185.0,184754.0,169040.0,81768.0,50600.0,89419.0,175303.0,100477.0,94097.0,167448.0,150443.0,42333.0,70559.0,187928.0,102057.0,12686.0,150169.0,184754.0,193331.0,35340.0,188125.0,131902.0,89253.0,135249.0,201985.0,102230.0,138686.0,175630.0,54059.0,176074.0,179777.0,172815.0,182058.0,182696.0,,169155.0,174734.0,84499.0,189260.0,113973.0,167933.0,90194.0,205963.0,117594.0,163072.0,183930.0,96293.0,111421.0,111579.0,107607.0,107499.0,107534.0,133290.0,111579.0,111717.0,111717.0,111717.0,122099.0,99181.0,140067.0,87836.0,71513.0,74657.0,77376.0,94771.0,71024.0,66124.0,34550.0,72538.0,189414.0,149626.0
장흥 수문리조트,52259.0,53508.0,15504.0,95111.0,96782.0,102212.0,67720.0,97637.0,82882.0,75512.0,95704.0,96473.0,83217.0,53851.0,45221.0,80745.0,102476.0,58869.0,117670.0,70712.0,68272.0,104709.0,93772.0,132000.0,95481.0,80937.0,92842.0,70415.0,98000.0,59855.0,92673.0,97890.0,58869.0,67098.0,81672.0,83222.0,126689.0,66260.0,96298.0,112996.0,64965.0,80249.0,107733.0,25137.0,93316.0,105867.0,92673.0,105584.0,91259.0,100378.0,84802.0,32998.0,74618.0,114920.0,25872.0,106640.0,88638.0,76872.0,89082.0,92785.0,85823.0,95066.0,95704.0,,82163.0,87742.0,61169.0,102268.0,108624.0,80941.0,62715.0,118971.0,95519.0,76080.0,96183.0,107307.0,48544.0,13139.0,19627.0,8175.0,8210.0,45543.0,13139.0,53508.0,53508.0,53508.0,63492.0,759.0,95098.0,34726.0,39908.0,30087.0,27963.0,37467.0,29982.0,70206.0,68285.0,81974.0,116781.0,76919.0
광양 필관광하우스펜션,129542.0,91753.0,95248.0,96179.0,117114.0,136915.0,25796.0,58684.0,129012.0,148323.0,51157.0,116805.0,129347.0,134309.0,120898.0,158819.0,180550.0,121935.0,152373.0,137323.0,141083.0,153288.0,166583.0,180579.0,95372.0,171113.0,170916.0,83213.0,133566.0,150031.0,105471.0,57526.0,121935.0,139909.0,127802.0,96020.0,199500.0,107870.0,58826.0,114954.0,142169.0,160707.0,50212.0,115313.0,171390.0,101356.0,105471.0,48063.0,164070.0,42857.0,93015.0,102203.0,74270.0,52174.0,86149.0,123534.0,25678.0,149683.0,40133.0,30901.0,24072.0,50519.0,51157.0,,8139.0,42848.0,151345.0,39308.0,143327.0,38068.0,110972.0,74424.0,126744.0,15700.0,38515.0,155886.0,104911.0,78471.0,74684.0,82365.0,82330.0,45212.0,78471.0,91753.0,91753.0,91753.0,82516.0,90935.0,96049.0,122896.0,118330.0,110545.0,105759.0,127643.0,110440.0,150664.0,146348.0,162432.0,59260.0,73860.0
고흥 휴샹그릴라펜션,105547.0,84239.0,74874.0,119582.0,127513.0,143335.0,57869.0,101778.0,129558.0,133086.0,55106.0,127204.0,129893.0,114142.0,98509.0,141036.0,162767.0,107023.0,158793.0,128286.0,125846.0,153834.0,151346.0,181125.0,118775.0,148530.0,153133.0,18854.0,139986.0,127448.0,25434.0,102031.0,107023.0,124672.0,128348.0,31661.0,184263.0,109578.0,100439.0,138357.0,125256.0,140540.0,100253.0,92730.0,153607.0,128235.0,25434.0,98104.0,148833.0,92898.0,111309.0,81185.0,94653.0,105069.0,65131.0,137371.0,75855.0,134446.0,56073.0,78168.0,69562.0,53053.0,55106.0,,72239.0,45736.0,128762.0,92344.0,149747.0,51535.0,109391.0,76800.0,132511.0,66156.0,88703.0,156432.0,90526.0,57453.0,53006.0,58995.0,58960.0,37157.0,57453.0,84239.0,84239.0,84239.0,93366.0,68352.0,119452.0,102729.0,99418.0,90378.0,86309.0,105060.0,90273.0,130497.0,128576.0,142265.0,109301.0,96216.0
신안 프롬휴풀빌라펜션,88239.0,94284.0,115007.0,108068.0,92758.0,62870.0,160338.0,138430.0,51364.0,69283.0,196820.0,93214.0,51232.0,111027.0,87458.0,100966.0,122697.0,72141.0,69049.0,65156.0,67828.0,28363.0,67479.0,29884.0,109056.0,166303.0,113063.0,181800.0,62731.0,145221.0,204058.0,138683.0,72141.0,70830.0,53540.0,194607.0,118208.0,70785.0,137091.0,109368.0,93470.0,135536.0,157571.0,137962.0,113537.0,118581.0,204058.0,168394.0,98855.0,165669.0,101591.0,97397.0,112432.0,187490.0,113824.0,96542.0,180198.0,70127.0,190198.0,184544.0,177452.0,196182.0,196820.0,,170754.0,188858.0,146535.0,193699.0,51596.0,182057.0,69508.0,220087.0,80212.0,164659.0,163405.0,27859.0,95715.0,130291.0,126319.0,136100.0,136157.0,150628.0,130291.0,94284.0,94284.0,94284.0,99282.0,129416.0,108479.0,123741.0,98105.0,107406.0,102034.0,130676.0,106929.0,129291.0,102710.0,137515.0,159057.0,125645.0
무안 애모시옹풀빌라펜션,44548.0,62060.0,74821.0,75205.0,62351.0,38793.0,128114.0,105567.0,19143.0,25592.0,166986.0,62807.0,19011.0,67336.0,52360.0,57275.0,79006.0,39827.0,54538.0,24379.0,24137.0,18004.0,30485.0,45295.0,76193.0,122612.0,69372.0,149479.0,34559.0,101530.0,171737.0,105820.0,39827.0,27139.0,21071.0,162286.0,74517.0,38561.0,104228.0,83987.0,49779.0,91845.0,124708.0,94271.0,69846.0,85718.0,171737.0,135531.0,55164.0,132806.0,68728.0,65083.0,80208.0,154627.0,81600.0,71213.0,147974.0,26436.0,160364.0,152320.0,145228.0,166348.0,166986.0,,138530.0,159024.0,102844.0,161475.0,41763.0,152223.0,37284.0,190253.0,50121.0,132435.0,130542.0,20602.0,63491.0,98562.0,94590.0,97236.0,97271.0,117580.0,98562.0,62060.0,62060.0,62060.0,67058.0,88918.0,75616.0,80050.0,57952.0,64533.0,63941.0,86985.0,63238.0,85600.0,59019.0,93824.0,126194.0,92782.0
장흥 참새미힐링하우스펜션,38480.0,46886.0,2230.0,87504.0,86315.0,89219.0,74638.0,102622.0,69889.0,62444.0,102549.0,86006.0,70224.0,40647.0,31442.0,67541.0,89272.0,45090.0,104677.0,57719.0,55279.0,90930.0,80779.0,118221.0,87910.0,80823.0,79638.0,78848.0,85007.0,59741.0,101106.0,102875.0,45090.0,54105.0,68679.0,91655.0,113696.0,53267.0,101283.0,103824.0,51761.0,67045.0,115333.0,27604.0,80112.0,98202.0,101106.0,113184.0,78266.0,107978.0,77241.0,20005.0,70794.0,121838.0,18582.0,95807.0,95483.0,63879.0,95927.0,99630.0,92668.0,101911.0,102549.0,,89008.0,94587.0,61005.0,109113.0,95631.0,87786.0,49722.0,125816.0,82526.0,82925.0,103783.0,93528.0,35551.0,27931.0,23959.0,23198.0,23233.0,53143.0,27931.0,46886.0,46886.0,46886.0,57644.0,14972.0,87433.0,29234.0,26129.0,16883.0,14184.0,36169.0,16778.0,57002.0,55081.0,68770.0,124381.0,81904.0
