연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,경기도,시흥시,은계호수공원가을콘서트,10.07~10.08,시흥예총,2022,70,0,70.0,0.0,문화예술,사단법인,482.0,482.0,0.0,은계호수공원,대면
2023,경기도,파주시,파주개성인삼축제,10.21~10.22.,파주개성인삼축제추진위원회,2005,250,0,250.0,0.0,특산물,위원회,0.0,0.0,0.0,임진각광장,대면
2023,경기도,파주시,파주장단콩축제,11.24.~11.26.,파주장단콩축제추진위원회,1997,684,0,684.0,0.0,특산물,위원회,30.0,30.0,0.0,임진각광장,대면
2023,경기도,파주시,파주북소리 축제,10월 중,출판도시문화재단,2011,371,0,281.0,90.0,문화예술,재단법인,10.0,10.0,0.0,파주출판도시,혼합형
2023,경기도,파주시,파주출판도시 어린이책잔치,5.5.~5.7.,출판도시문화재단,2003,294,200,64.0,30.0,문화예술,재단법인,0.0,0.0,0.0,파주출판도시,혼합형
2023,경기도,파주시,파주 헤이리 예술축제,9~11월,헤이리,2005,140,0,125.0,15.0,문화예술,사단법인,40.0,40.0,0.0,헤이리 예술마을,혼합형
2023,경기도,파주시,제33회 율곡문화제,10월중,,1987,200,0,200.0,0.0,전통역사,,0.0,0.0,0.0,율곡이이유적지,대면
2023,경기도,광명시,페스티벌 광명,하반기,,2022,290,0,290.0,0.0,문화예술,,111.0,110.0,1.0,(미정),대면
2023,경기도,광명시,광명동굴 대한민국 와인페스티벌,9월 중,광명도시공사,2015,150,0,150.0,0.0,문화예술,지방공기업,200.0,200.0,0.0,광명동굴 미디어광장,대면
2023,경기도,광명시,구름산예술제,하반기,(사)한국예총광명지회,1991,149,0,149.0,0.0,문화예술,민간단체,10.0,10.0,0.0,(미정),대면
2023,경기도,광명시,오리문화제,5월 중,광명문화원,1992,100,0,100.0,0.0,문화예술,사단법인,100.0,100.0,0.0,광명시민체육관,대면
